Date Reported,Date Occurred,Month,Day,Year,Time Occurred,Hour,Area ID,Area Name,Location ,Latitude,Longitude,Description,Classified Crime Type
5/16/2013,5/16/2012,5,16,2012,1130,11,7,Wilshire,"(34.0362, -118.3413)",34.0362,-118.3413,ARSON,Arson
1/17/2013,11/24/2012,11,24,2012,411,4,9,Van Nuys,"(34.2048, -118.4488)",34.2048,-118.4488,ARSON,Arson
1/3/2013,12/29/2012,12,29,2012,420,4,15,N Hollywood,"(34.1486, -118.4094)",34.1486,-118.4094,ARSON,Arson
7/6/2013,11/16/2012,11,16,2012,623,6,15,N Hollywood,"(34.17, -118.3752)",34.17,-118.3752,ARSON,Arson
2/21/2013,11/4/2012,11,4,2012,1944,19,19,Mission,"(34.2943, -118.452)",34.2943,-118.452,ARSON,Arson
2/21/2013,11/15/2012,11,15,2012,2350,23,19,Mission,"(34.302, -118.4587)",34.302,-118.4587,ARSON,Arson
2/21/2013,12/17/2012,12,17,2012,211,2,19,Mission,"(34.2943, -118.4577)",34.2943,-118.4577,ARSON,Arson
1/3/2013,12/31/2012,12,31,2012,2315,23,12,77th Street,"(33.9996, -118.2954)",33.9996,-118.2954,ASSAULT,Assault
1/2/2013,12/31/2012,12,31,2012,2259,22,13,Newton,"(34.0219, -118.2571)",34.0219,-118.2571,ASSAULT,Assault
1/2/2013,12/31/2012,12,31,2012,2259,22,13,Newton,"(34.0219, -118.2571)",34.0219,-118.2571,ASSAULT,Assault
1/2/2013,12/30/2012,12,30,2012,2115,21,14,Pacific,"(33.9432, -118.4013)",33.9432,-118.4013,ASSAULT,Assault
1/1/2013,12/26/2012,12,26,2012,1645,16,1,Central,"(34.0481, -118.2507)",34.0481,-118.2507,ASSAULT,Assault
1/1/2013,12/31/2012,12,31,2012,2300,23,2,Rampart,"(34.0581, -118.2803)",34.0522,-118.2803,ASSAULT,Assault
6/6/2013,6/5/2012,6,5,2012,1950,19,2,Rampart,"(34.0583, -118.2616)",34.0549,-118.2616,ASSAULT,Assault
1/9/2013,10/10/2012,10,10,2012,1200,12,3,Southwest,"(34.0255, -118.2948)",34.0183,-118.2948,ASSAULT,Assault
